id,mx,my,kx,ky,realized_k,realized_theta_deg,cell_mass,c,phase
40,5,-4,1,-0.8,1.28062484748657,-38.6598082540901,2.42346601103703,0.000694059486857362,0
41,5,4,1,0.8,1.28062484748657,38.6598082540901,2.42346601103703,0.000694059486857362,0
42,4,-1,0.8,-0.2,0.824621125123532,-14.0362434679265,2.41366027677764,0.000691251210257923,0
43,4,1,0.8,0.2,0.824621125123532,14.0362434679265,2.41366027677764,0.000691251210257923,0
44,3,-6,0.6,-1.2,1.34164078649987,-63.434948822922,2.34507128342505,0.000671607921961922,0
45,3,6,0.6,1.2,1.34164078649987,63.434948822922,2.34507128342505,0.000671607921961922,0
46,2,-2,0.4,-0.4,0.565685424949238,-45,2.06841574438955,0.000592376193278812,0
47,2,2,0.4,0.4,0.565685424949238,45,2.06841574438955,0.000592376193278812,0
48,4,-6,0.8,-1.2,1.4422205101856,-56.3099324740202,1.64955148970877,0.000472417131198864,0
49,4,6,0.8,1.2,1.4422205101856,56.3099324740202,1.64955148970877,0.000472417131198864,0
50,4,0,0.8,0,0.8,0,1.63214311051323,0.000467431523529331,0
51,5,-5,1,-1,1.4142135623731,-45,1.60256599583091,0.000458960896359139,0
52,5,5,1,1,1.4142135623731,45,1.60256599583091,0.000458960896359139,0
53,2,-7,0.4,-1.4,1.4560219778561,-74.0546040990772,1.4301877340372,0.00040959326859748,0
54,2,7,0.4,1.4,1.4560219778561,74.0546040990772,1.4301877340372,0.00040959326859748,0
55,6,-2,1.2,-0.4,1.26491106406735,-18.434948822922,1.3949013769293,0.000399487564289749,0
56,6,2,1.2,0.4,1.26491106406735,18.434948822922,1.3949013769293,0.000399487564289749,0
57,1,-7,0.2,-1.4,1.4142135623731,-81.869897645844,1.38878679880249,0.000397736402549615,0
58,1,7,0.2,1.4,1.4142135623731,81.869897645844,1.38878679880249,0.000397736402549615,0
59,3,-1,0.6,-0.2,0.632455532033676,-18.434948822922,1.37839475609011,0.000394760212332998,0
60,3,1,0.6,0.2,0.632455532033676,18.434948822922,1.37839475609011,0.000394760212332998,0
61,6,-1,1.2,-0.2,1.21655250605964,-9.46232220802562,1.34531728516256,0.000385287113723832,0
62,6,1,1.2,0.2,1.21655250605964,9.46232220802562,1.34531728516256,0.000385287113723832,0
63,3,-7,0.6,-1.4,1.52315462117278,-66.8014094863518,1.30656074623219,0.000374187579668113,0
64,3,7,0.6,1.4,1.52315462117278,66.8014094863518,1.30656074623219,0.000374187579668113,0
65,6,-3,1.2,-0.6,1.34164078649987,-26.565051177078,1.30492975382577,0.000373720477696183,0
66,6,3,1.2,0.6,1.34164078649987,26.565051177078,1.30492975382577,0.000373720477696183,0
67,6,0,1.2,0,1.2,0,1.28482907503953,0.000367963818951918,0
68,5,-6,1,-1.2,1.56204993518133,-50.1944289077348,1.16335109134711,0.000333173586020221,0
69,5,6,1,1.2,1.56204993518133,50.1944289077348,1.16335109134711,0.000333173586020221,0
70,6,-4,1.2,-0.8,1.4422205101856,-33.6900675259798,1.14349920003507,0.000327488177834411,0
71,6,4,1.2,0.8,1.4422205101856,33.6900675259798,1.14349920003507,0.000327488177834411,0
72,4,-7,0.8,-1.4,1.61245154965971,-60.2551187030578,1.10105255283032,0.00031533182901682,0
73,4,7,0.8,1.4,1.61245154965971,60.2551187030578,1.10105255283032,0.00031533182901682,0
74,6,-5,1.2,-1,1.56204993518133,-39.8055710922652,0.982023829252947,0.000281243042777953,0
75,6,5,1.2,1,1.56204993518133,39.8055710922652,0.982023829252947,0.000281243042777953,0
76,2,-8,0.4,-1.6,1.64924225024706,-75.9637565320735,0.887115183153575,0.000254062035943089,0
77,2,8,0.4,1.6,1.64924225024706,75.9637565320735,0.887115183153575,0.000254062035943089,0
78,5,-7,1,-1.4,1.72046505340853,-54.4623222080256,0.876682597695243,0.000251074234638334,0
79,5,7,1,1.4,1.72046505340853,54.4623222080256,0.876682597695243,0.000251074234638334,0
80,3,-8,0.6,-1.6,1.70880074906351,-69.4439547804165,0.866969346186408,0.000248292444290446,0
81,3,8,0.6,1.6,1.70880074906351,69.4439547804165,0.866969346186408,0.000248292444290446,0
82,6,-6,1.2,-1.2,1.69705627484771,-45,0.824044463819513,0.00023599913310172,0
83,6,6,1.2,1.2,1.69705627484771,45,0.824044463819513,0.00023599913310172,0
84,1,-8,0.2,-1.6,1.61245154965971,-82.8749836510982,0.823074741765981,0.000235721413180003,0
85,1,8,0.2,1.6,1.61245154965971,82.8749836510982,0.823074741765981,0.000235721413180003,0
86,4,-8,0.8,-1.6,1.78885438199983,-63.434948822922,0.780528385331835,0.000223536508510472,0
87,4,8,0.8,1.6,1.78885438199983,63.434948822922,0.780528385331835,0.000223536508510472,0
88,3,0,0.6,0,0.6,0,0.775185284907948,0.000222006291242501,0
89,7,-4,1.4,-0.8,1.61245154965971,-29.7448812969422,0.674496033279949,0.000193169769501032,0
90,7,4,1.4,0.8,1.61245154965971,29.7448812969422,0.674496033279949,0.000193169769501032,0
91,6,-7,1.2,-1.4,1.84390889145858,-49.3987053549955,0.669389693417993,0.000191707358388943,0
92,6,7,1.2,1.4,1.84390889145858,49.3987053549955,0.669389693417993,0.000191707358388943,0
93,7,-3,1.4,-0.6,1.52315462117278,-23.1985905136482,0.660280604895993,0.000189098595040696,0
94,7,3,1.4,0.6,1.52315462117278,23.1985905136482,0.660280604895993,0.000189098595040696,0
95,5,-8,1,-1.6,1.88679622641132,-57.9946167919165,0.658497023996415,0.000188587793057795,0
96,5,8,1,1.6,1.88679622641132,57.9946167919165,0.658497023996415,0.000188587793057795,0
97,7,-5,1.4,-1,1.72046505340853,-35.5376777919744,0.644675758552437,0.000184629503418874,0
98,7,5,1.4,1,1.72046505340853,35.5376777919744,0.644675758552437,0.000184629503418874,0
99,7,-2,1.4,-0.4,1.4560219778561,-15.9453959009229,0.607731216005212,0.000174048909292227,0
100,7,2,1.4,0.4,1.4560219778561,15.9453959009229,0.607731216005212,0.000174048909292227,0
101,3,-9,0.6,-1.8,1.89736659610103,-71.565051177078,0.60126842886849,0.000172198023534657,0
102,3,9,0.6,1.8,1.89736659610103,71.565051177078,0.60126842886849,0.000172198023534657,0
103,2,-9,0.4,-1.8,1.84390889145858,-77.4711922908485,0.600570118897022,0.000171998033661369,0
104,2,9,0.4,1.8,1.84390889145858,77.4711922908485,0.600570118897022,0.000171998033661369,0
105,7,-6,1.4,-1.2,1.84390889145858,-40.6012946450045,0.579874126015548,0.000166070882162689,0
