kph,case_id,case_label,J,raw_relative_l2,raw_relative_l2_pct,raw_relative_linf,low_output_relative_l2_pct,resolved_output_relative_l2_pct,norm_ratio,fft_ifft_count,pointwise_product_count,matlab_release
1,single_s30,"One system, 30 deg spreading",12,8.88596085567791e-05,0.00888596085567791,5.23981110218816e-05,0.00108179127300404,0.00881986553017065,0.999986873910388,125,85,2022b
1,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",1,0.456801517920681,45.6801517920681,0.467223606630639,0.289338398504451,45.679235447165,0.550030001892388,15,8,2022b
1,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",2,0.160027754880607,16.0027754880607,0.17783270045043,0.175725876379641,16.001810639351,0.844191946164476,25,15,2022b
1,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",3,0.0558355566243154,5.58355566243154,0.0674321570392396,0.152958589782121,5.58146015889061,0.947595264543493,35,22,2022b
1,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",4,0.0204784666098259,2.04784666098259,0.0262549754234315,0.149021644391233,2.04241731690673,0.982094858834635,45,29,2022b
1,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",5,0.00812605854177573,0.812605854177573,0.0106045807304122,0.148341622784543,0.798951210771541,0.993697435606496,55,36,2022b
1,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",6,0.00367935763247875,0.367935763247875,0.00449395939137383,0.148219989492094,0.336760390473345,0.997699334114395,65,43,2022b
1,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",7,0.00213215200484964,0.213215200484964,0.00203760976533588,0.148197063033417,0.153291722627521,0.999125984872188,75,50,2022b
1,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",8,0.00166163265601999,0.166163265601999,0.0010198509881107,0.148192463463086,0.075161323885774,0.999653948650653,85,57,2022b
1,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",9,0.00153344136331955,0.153344136331955,0.000584792230346256,0.148191477142345,0.0394171314248372,0.999857243752496,95,64,2022b
1,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",10,0.00149797298608704,0.149797298608704,0.00039221495199126,0.148191251337475,0.0218765558874869,0.999938823043709,105,71,2022b
1,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",11,0.00148735519825243,0.148735519825243,0.000303838549434279,0.148191196440478,0.0127131489106701,0.999972942342978,115,78,2022b
1,balanced_spreading_a090_s30,"Two equal systems, 90 deg crossing, 30 deg spreading",12,0.00148389278935774,0.148389278935774,0.000261743679403568,0.14819118237305,0.00766495727034757,0.999987785751858,125,85,2022b
1,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",1,0.469219848573592,46.9219848573592,0.502297151677569,0.906367844258008,46.9132301199261,0.551436253201976,15,8,2022b
1,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",2,0.165671940758887,16.5671940758887,0.192174452072001,0.558735537770536,16.5577696006133,0.842563720927738,25,15,2022b
1,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",3,0.0584956801438527,5.84956801438527,0.0731286668438847,0.487076407049978,5.8292540284855,0.946727711525653,35,22,2022b
1,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",4,0.0221150053608123,2.21150053608123,0.0287422183090561,0.474386040740566,2.16002141318971,0.981743149685682,45,29,2022b
1,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",5,0.0097955874948458,0.97955874948458,0.0118936429757234,0.472135113640162,0.858267894168124,0.993575205070972,55,36,2022b
1,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",6,0.00598446514690836,0.598446514690836,0.00532351283987779,0.471719162954989,0.368265206402469,0.997666942218796,65,43,2022b
1,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",7,0.00501589973227363,0.501589973227363,0.00268487604843958,0.471637503306347,0.170735370433844,0.999125646978044,75,50,2022b
1,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",8,0.00479242004648601,0.479242004648601,0.00159187662976529,0.471620290156543,0.0851304935511821,0.999663756161656,85,57,2022b
1,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",9,0.0047378377519222,0.47378377519222,0.00112469279657664,0.471616383006698,0.0452664656790481,0.999869473151681,95,64,2022b
1,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",10,0.00472298182036203,0.472298182036203,0.000917585237833473,0.471615431920562,0.0253861601878613,0.999951106373861,105,71,2022b
1,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",11,0.00471849463891973,0.471849463891973,0.000822420191430636,0.47161518586343,0.0148671798988431,0.999984704688149,115,78,2022b
1,crossing_a120_s30,"Two equal systems, 120 deg crossing, 30 deg spreading",12,0.00471701259504266,0.471701259504266,0.000776902445167469,0.471615118941387,0.00901431105591738,0.999999048003387,125,85,2022b
2,single_s30,"One system, 30 deg spreading",1,0.392802491452423,39.2802491452423,0.415594653235564,0.000124019409547023,39.2802491450465,0.609124447533315,15,8,2022b
2,single_s30,"One system, 30 deg spreading",2,0.108365644482067,10.8365644482067,0.127356169830578,9.47574571986142e-05,10.8365644477924,0.894760905013725,25,15,2022b
2,single_s30,"One system, 30 deg spreading",3,0.0292037687908128,2.92037687908128,0.0377963143188462,9.17860868445265e-05,2.92037687763888,0.973277626213326,35,22,2022b
2,single_s30,"One system, 30 deg spreading",4,0.00819274233030692,0.819274233030692,0.0113601730432017,9.15344088427363e-05,0.819274227917296,0.993228570488299,45,29,2022b
2,single_s30,"One system, 30 deg spreading",5,0.00241770987704556,0.241770987704556,0.00349144613494237,9.15136868130407e-05,0.241770970384953,0.998255391064594,55,36,2022b
2,single_s30,"One system, 30 deg spreading",6,0.000744498980046763,0.0744498980046763,0.00109856485590548,9.15119774415563e-05,0.0744498417625228,0.999539469980057,65,43,2022b
2,single_s30,"One system, 30 deg spreading",7,0.000236650408526967,0.0236650408526967,0.000353455821374934,9.15118350195541e-05,0.0236648639155997,0.999875106544136,75,50,2022b
2,single_s30,"One system, 30 deg spreading",8,7.70538373217065e-05,0.00770538373217065,0.000116102645082758,9.15118230097307e-05,0.00770484029985369,0.999965203166946,85,57,2022b
2,single_s30,"One system, 30 deg spreading",9,2.56047824457412e-05,0.00256047824457412,3.88933443244753e-05,9.15118219849747e-05,0.00255884239987037,0.999990054884115,95,64,2022b
2,single_s30,"One system, 30 deg spreading",10,8.70579071470131e-06,0.000870579071470131,1.32922215242136e-05,9.1511821896382e-05,0.000865756031532557,0.99999709022045,105,71,2022b
2,single_s30,"One system, 30 deg spreading",11,3.1250333033028e-06,0.00031250333033028,4.6536142370865e-06,9.15118218885505e-05,0.000298804146427311,0.999999129531172,115,78,2022b
