abs_kx_over_k0,mf12_eta20_spectrum_scaled,gl6_eta20_spectrum_scaled,gl12_eta20_spectrum_scaled,gl16_eta20_spectrum_scaled
5.9,6.7274642561291e-20,8.67818626211499e-20,4.88616560049921e-20,2.60029242436346e-20
6,1.0842021724855e-19,2.7314104916261e-20,7.11517143506338e-20,7.12892463593085e-20
6.1,2.29026494247503e-19,1.03660361350415e-19,2.05401560137289e-19,1.5802329841521e-19
6.2,2.1079551301915e-19,8.00390112497251e-20,1.56001302821059e-19,1.13467643328229e-19
6.3,4.7063714751401e-19,7.00788602219765e-20,1.06217391212419e-19,1.31126062478604e-19
6.4,2.16840434497101e-19,3.06658683336675e-19,4.84869951806108e-19,0
6.5,5.84168478788563e-19,7.00788602219765e-20,3.48546596003406e-19,1.31126062478604e-19
6.6,2.56399265634012e-19,8.00390112497251e-20,1.82078593231151e-19,1.05062820061629e-19
6.7,2.4303351783381e-19,7.84454951377015e-20,1.28358334293472e-19,1.92597114035692e-19
6.8,5.42101086242752e-20,2.7314104916261e-20,3.72712571389072e-20,1.27680889338482e-19
6.9,2.4768269591826e-19,7.53170541335075e-20,2.31293278741186e-19,2.47194377785006e-19
7,8.98052772011105e-20,7.78115592449683e-20,2.32781624708638e-19,1.21897208613349e-19
7.1,3.65622545108903e-19,1.4969311118821e-19,1.21792061796156e-19,4.15504479362626e-20
7.2,6.06642036978854e-20,6.26409458834473e-20,8.44436283719587e-20,1.50564582580023e-19
7.3,1.45927863097459e-19,4.42305617368576e-20,1.4518027654898e-19,1.1353873336242e-19
7.4,8.77442619164893e-20,1.08439628325645e-19,8.84542892259646e-20,1.0361837624983e-19
7.5,1.38902845780051e-19,7.42763088077298e-20,6.14735536977598e-20,2.02512580727206e-19
7.6,8.25064006772269e-20,4.49380311230948e-20,7.54385224385485e-20,1.30535178695606e-19
7.7,4.5423758334114e-20,6.57056856769683e-20,1.98346892811577e-20,1.19813005311643e-19
7.8,1.02953612069185e-19,1.5493740570676e-19,2.56394719646201e-19,1.33285603712619e-19
7.9,2.34995034905681e-19,1.75380638113302e-19,2.69775813154503e-19,1.23272664344228e-19
8,2.58307651691754e-19,1.01785182238861e-19,2.08479217241162e-19,3.88975037110764e-20
8.1,1.55269021572643e-19,2.2409387436436e-19,3.5122353380563e-19,2.4476116672606e-19
8.2,2.31621507564984e-19,5.48674281242982e-20,1.62076721390279e-19,1.39021980112854e-19
8.3,1.29471417340231e-19,7.05741573543545e-20,1.79204236150826e-19,9.56477442561963e-20
8.4,1.53386651649947e-19,2.95813475382731e-20,1.24795444931954e-19,8.34465501379766e-20
8.5,1.73877676031203e-19,3.36918804143066e-20,1.2191148046615e-19,4.58936862386125e-20
8.6,4.64294719496856e-20,4.41144400652087e-20,1.3335787569322e-19,1.75402451606415e-19
8.7,1.26214505913365e-19,1.25388975575942e-19,1.84916971626379e-19,1.22428069115486e-19
8.8,1.95828292398594e-19,1.31134180639103e-20,6.81773047728282e-20,5.1296702637978e-20
8.9,1.72145022792217e-19,3.43108206906291e-20,2.25783702105952e-19,1.83277070544055e-19
9,9.97407190532035e-20,1.00025948652094e-20,2.08556667740473e-19,1.32330055607494e-19
9.1,8.37876430568736e-20,5.83528203899434e-20,1.43440022697409e-19,4.85702985651398e-20
9.2,1.96780556000367e-19,4.72726375341235e-20,4.48255883956911e-20,5.69505413283053e-20
9.3,1.05438224881311e-19,9.04682942878506e-20,1.17663258884628e-19,1.82786000084323e-19
9.4,1.13121578721559e-19,1.20908692772822e-19,9.08074939909176e-20,7.41651870131351e-20
9.5,1.15094116646544e-19,1.38093187398224e-20,3.08999870680001e-19,8.0967342358993e-20
9.6,1.0842021724855e-19,1.30874779458444e-19,4.4909124419787e-20,2.61749558916888e-19
9.7,2.31299572329293e-19,9.49248549031789e-20,3.55697048240102e-19,1.36632698814486e-19
9.8,3.49319168302676e-19,3.62806004376923e-20,1.80955484434e-20,1.43435078607688e-19
9.9,1.39126948249744e-19,5.91294089359454e-20,1.25929761118789e-19,1.96918754418332e-19
10,6.05836794934675e-20,1.92540950573348e-20,5.35057037126001e-20,9.15814137282889e-20
10.1,8.72547259016513e-20,1.00996620677752e-19,1.00207110397466e-19,1.09669239208173e-19
10.2,2.67412458978179e-20,9.14900199704231e-20,1.07268266893653e-19,1.73192562468235e-19
10.3,8.47955380810756e-20,3.14773155565832e-20,1.37388333215927e-19,2.38455691348645e-19
10.4,9.63088008021962e-20,4.09739876523908e-20,1.28570561593385e-19,1.5213617219803e-19
10.5,2.08035035108869e-19,5.301069551393e-20,5.64043372947217e-20,6.14386859385509e-20
10.6,1.63259263178715e-19,1.02188986761309e-19,1.14585545695601e-19,9.3172442077592e-20
10.7,1.61088356793986e-19,2.21970951801259e-20,5.57958399585112e-20,1.6844799341136e-19
10.8,1.00650897511788e-19,7.5767385982055e-20,1.40983037019633e-19,1.3907557386975e-19
10.9,1.08714137620763e-19,1.0818382895861e-19,4.77256939963137e-20,7.30294743946359e-20
11,2.45558334108924e-19,1.35859739531349e-19,2.86534582971658e-20,1.46508955013468e-19
11.1,2.42268984470726e-19,9.34196297326649e-20,3.43835789317958e-19,1.4173952558921e-19
11.2,2.85890873552501e-19,7.45388993583784e-20,8.80914265144472e-20,1.18342355748454e-19
11.3,8.91134571702197e-20,1.72872918006241e-19,3.22360462062724e-19,6.70422658201548e-20
11.4,6.8512452210717e-20,3.74414960780989e-20,1.20892019237947e-19,1.07378687911804e-19
11.5,8.24279173181409e-20,9.83689122457045e-20,2.26981469012338e-19,1.20248417809644e-19
11.6,8.9449245959734e-20,6.69166771680622e-20,9.34772486854814e-20,1.7317815477739e-19
11.7,1.11121201179505e-19,9.16804153875669e-20,9.80291650628508e-20,9.5109715851707e-20
11.8,1.89269122980071e-20,1.13199440293677e-19,1.52825746523877e-19,1.24653621498312e-19
11.9,1.89885646779761e-19,1.10917108911843e-19,2.3285927321868e-19,2.31257910386625e-19
12,8.80914265144472e-20,6.06087439757635e-20,1.08631769093124e-19,1.01643953670516e-19
12.1,2.09475888890087e-19,2.91390618386143e-20,1.558127983814e-19,8.4233293070838e-20
12.2,1.19554827553e-19,5.48214123742919e-20,2.18235396824037e-19,1.501361291731e-19
12.3,1.15496250131047e-19,8.92302567550093e-20,9.65837666376069e-20,1.13017703004222e-19
12.4,2.03287907341032e-20,6.12598160841722e-20,1.64298018576363e-19,8.04499140530916e-20
12.5,2.19342285058265e-19,1.12858995380187e-19,4.91279109407494e-20,4.36550788738464e-19
12.6,7.03037346221069e-20,7.6232965252887e-21,2.71050543121376e-20,2.14299335655338e-19
12.7,5.59319528647991e-19,2.62580213648833e-20,4.42038408621321e-19,5.59041745187838e-20
12.8,0,0,4.33680868994202e-19,0
