abs_kx_over_k0,mf12_eta20_spectrum_scaled,gl6_eta20_spectrum_scaled,gl12_eta20_spectrum_scaled,gl16_eta20_spectrum_scaled
9.2,1.26462349205661e-19,1.23818218345167e-19,2.33871738027885e-20,6.60086718836292e-20
9.3,5.5083290992081e-20,7.31636385619339e-20,9.98380792414413e-20,7.5824357956059e-20
9.4,6.87170674408889e-20,8.2105719908734e-20,5.98107987116023e-20,4.02537245979255e-20
9.5,1.02794503542329e-19,1.56568672220764e-19,8.01749633311986e-20,8.77944134372465e-20
9.6,4.1490620874444e-20,2.24545622098935e-20,5.42101086242752e-20,0
9.7,1.26241605615739e-19,4.51097310570717e-20,9.68970776138501e-20,1.54177588484536e-19
9.8,1.2161761126074e-19,1.09091765432916e-19,5.09427026905544e-20,3.37192860799834e-20
9.9,7.46105322853898e-20,1.2900575747942e-19,2.24581142947122e-20,2.15685182832285e-20
10,2.07650454698155e-19,1.61964515131558e-20,3.49773310216259e-20,9.90460280239453e-20
10.1,7.62813137903397e-20,1.07808149196543e-19,7.43175128022411e-20,1.12007321486877e-20
10.2,1.46441504445597e-19,2.21689737563109e-20,3.28049899285909e-20,1.08580450496986e-19
10.3,1.00185379197638e-19,8.48339779944291e-20,1.19489870510383e-19,1.90365416871395e-19
10.4,1.53404191241587e-20,1.97741832570955e-20,1.15572671671514e-19,5.15230027348653e-20
10.5,8.96473887880128e-20,9.49372684592222e-20,9.78784309192195e-20,7.56731292737749e-20
10.6,3.55004123851323e-20,5.14393840656371e-20,3.0886639707939e-20,2.83799776447957e-20
10.7,1.14954992111782e-19,7.9309402358544e-20,8.04098906522698e-20,5.97714099926257e-20
10.8,1.0223866622416e-19,2.53230814639334e-20,3.26971012762499e-20,5.07523098847259e-20
10.9,6.70446615013162e-20,2.08721191935532e-20,8.3088748655795e-20,5.02429554343449e-20
11,8.89225885910462e-20,8.79794206597647e-20,1.23089073109361e-19,1.29178704222357e-19
11.1,1.52281484553288e-19,1.17815100443418e-19,1.36376138945753e-19,1.056553219226e-19
11.2,5.46319835365211e-20,9.04066322681097e-20,7.43075312905712e-20,4.28568538644617e-20
11.3,1.0531400336731e-19,3.85191332915072e-20,1.41880775930656e-19,8.29404215073936e-20
11.4,6.58912347803924e-20,7.62390376998061e-20,9.50645087837263e-20,1.16244848435532e-19
11.5,5.55323215328773e-20,1.38846182723474e-19,1.57947607985242e-19,6.66938844781553e-20
11.6,6.13850568276399e-20,1.13270183926126e-20,5.0190035077406e-20,7.39548615628954e-20
11.7,7.35757509081491e-21,2.98620059445413e-20,1.11339350218312e-19,1.0932933094963e-19
11.8,3.51080732057396e-20,1.10468814680012e-19,8.21142386700563e-20,9.96656095112982e-20
11.9,2.86698879954939e-20,5.51593901032835e-20,5.55474957555257e-20,6.7978768597671e-20
12,1.09263967073042e-19,1.71427415457847e-19,1.21217487951527e-19,8.13151629364128e-20
12.1,5.24195050758098e-20,5.51593901032835e-20,7.0294514846151e-20,4.69299147434827e-20
12.2,3.36781050580054e-20,2.11758236813575e-20,3.53168584583051e-20,1.4553845474658e-19
12.3,6.71813242675635e-20,1.08421519726233e-19,1.2315823898895e-19,1.0868617078009e-19
12.4,1.10309579098707e-19,1.23899041305078e-20,1.13065877935094e-19,1.25794145672621e-19
12.5,6.01393392550553e-20,1.08423525920515e-19,1.09546774670565e-19,1.10156626649005e-19
12.6,1.16709337624484e-19,6.7762635780344e-21,7.36918664111241e-20,1.18584612615602e-20
12.7,2.18857644211291e-19,6.35274710440725e-21,1.31290106824417e-20,2.25954671582924e-19
12.8,4.33680868994202e-19,2.16840434497101e-19,0,0
