x_over_lambda_p,mf12_eta20_scaled,gl12_eta20_scaled,r2_eta20_scaled,r4_eta20_scaled,r6_eta20_scaled,gl12_difference_pct,r2_difference_pct,r4_difference_pct,r6_difference_pct
-1.328125,-0.00587737763518448,-0.00326000524036496,-0.00592920468601855,-0.00587306067452358,-0.00587761292209318,1.16497434975541,-0.0230678618620199,0.00192144933170506,-0.000104724575691879
-1.2890625,-0.00669500108145617,-0.00399890314333246,-0.00672373670930371,-0.00667930353198801,-0.00669046851551635,1.2000145445712,-0.0127900292036218,0.00698687069544444,0.00201741375011119
-1.25,-0.00765413008751696,-0.00487844955668757,-0.00765167337489806,-0.00762390051343408,-0.00764365602340535,1.23543620614777,0.00109346579470225,0.0134549743400229,0.00466193349172147
-1.2109375,-0.00872594350134862,-0.00586993115152075,-0.00868425407647737,-0.00867761844401209,-0.00870815686302298,1.2711913431652,0.0185556746633307,0.0215091487779662,0.00791670969662353
-1.171875,-0.0098696465366459,-0.00693267286889005,-0.00978193685339733,-0.00979967827349089,-0.00984312580254257,1.3072266658022,0.0390389733658066,0.0311423899915251,0.0118041953174952
-1.1328125,-0.0110456187142285,-0.00802718618332201,-0.0109072570316689,-0.010950947061861,-0.0110090690927414,1.34348344237649,0.0615838279222152,0.0421376976678302,0.0162679837267069
-1.09375,-0.0122299134866378,-0.00912966895363879,-0.012038756127117,-0.0121083448537391,-0.0121823236080251,1.37989739865136,0.0850828185738985,0.054109357668098,0.0211819258129034
-1.0546875,-0.0134250144959114,-0.0102427617992116,-0.0131810333957597,-0.0132753746127329,-0.013365738840109,1.41639866510129,0.108594300170855,0.0666036770115319,0.0263831844148208
-1.015625,-0.0146622595714783,-0.011397972099296,-0.0143665258359098,-0.0144842322088958,-0.0145909867864804,1.45291177627119,0.13162904024532,0.0792387477508799,0.0317230236410386
-0.9765625,-0.0159935402942235,-0.0126473734344372,-0.015646809305562,-0.0157871860387807,-0.0159101371552209,1.48935572537108,0.154327564872111,0.0918468518387121,0.037122160308331
-0.9375,-0.0174732263318389,-0.0140455296691712,-0.0170744900144506,-0.0172382739241916,-0.0173774855930829,1.52564407672885,0.17747477699109,0.104575691584478,0.042613540624994
-0.8984375,-0.0191347444426802,-0.0156260735670918,-0.0186801366582015,-0.0188698348195965,-0.0190261014155341,1.56168513883796,0.202342780555467,0.117909440974747,0.0483562599481789
-0.859375,-0.020968698932944,-0.0173798267153951,-0.0204510570788929,-0.0206708104033544,-0.0208460042272583,1.59738220142826,0.230398808944028,0.132588124160389,0.05461056487705
-0.8203125,-0.0229099162197129,-0.0192418434015644,-0.0223191443976551,-0.0225741872212443,-0.022771351106366,1.63263384096045,0.262948451896941,0.149430655133021,0.0616743735585957
-0.78125,-0.0248389585585663,-0.0210929234892391,-0.0241631554675959,-0.0244590463372868,-0.0246821511467833,1.66733429973051,0.300795281567165,0.169096302010806,0.0697938944188033
-0.7421875,-0.0265998468447541,-0.0227773341904244,-0.0258270093114507,-0.0261688292763112,-0.0264221959916682,1.70137394385435,0.343984640706318,0.191842938560741,0.0790711659780598
-0.703125,-0.0280310006945649,-0.0241337489311231,-0.0271510312083033,-0.0275426749535308,-0.027830152364955,1.73463980438362,0.391668331984898,0.217350409806414,0.0893962023325165
-0.6640625,-0.0290021672916722,-0.0250321747907046,-0.0280089127589377,-0.0284524644726191,-0.0287765322309355,1.76701620354161,0.442090722628629,0.244668922715248,0.100428604918459
-0.625,-0.0294477301662653,-0.0254072596857594,-0.0283408401500603,-0.0288358903394225,-0.029196900087797,1.79838546476986,0.492669090356199,0.272325675108893,0.111642733048259
-0.5859375,-0.029387119777929,-0.0252787011808725,-0.0281735945875355,-0.0287162861278261,-0.0291120448582032,1.82862870148021,0.540131668840317,0.298583417808415,0.122433944201374
-0.546875,-0.0289261340052635,-0.0247525650487406,-0.0276214904707447,-0.0282031344474379,-0.0286289710361055,1.85762667586319,0.580687813586214,0.321802102527891,0.132265182230664
-0.5078125,-0.0282380010541148,-0.024002346116625,-0.0268669860891044,-0.0274722715386034,-0.027921621214696,1.88526071657095,0.61022927823693,0.340820911150068,0.140818478269329
-0.46875,-0.0275285284807873,-0.0232341151228564,-0.0261252564230605,-0.0267303511716037,-0.0271957678078055,1.91141368310391,0.624586687097268,0.355263199686865,0.148109473989433
-0.4296875,-0.0269940369959447,-0.0226444502749344,-0.0256013475090578,-0.0261724623172495,-0.0266468562957213,1.93597096540144,0.619876458011304,0.36567720702749,0.154527728377877
-0.390625,-0.0267826597438561,-0.0223817342253661,-0.0254504424727036,-0.025943598773177,-0.0264214291213436,1.95882150907244,0.59296069304682,0.373460234644793,0.160781251611784
-0.3515625,-0.0269684307719142,-0.0225202401963867,-0.0257506967609687,-0.0261134052295582,-0.026591549686923,1.97985885904882,0.542004985757501,0.380565955078432,0.167747164213884
-0.3125,-0.0275437637422996,-0.0230526083179493,-0.0264943960170736,-0.0266696751534344,-0.027147766073254,1.99898221609148,0.467066316497043,0.389050785229245,0.176255823555754
-0.2734375,-0.0284306326477369,-0.0239010239537329,-0.0275980134633742,-0.0275306838564924,-0.028010818579727,2.01609750045048,0.370593040110233,0.400560982444975,0.186856338007552
-0.234375,-0.0295056520954224,-0.0249422955979143,-0.0289266905322198,-0.0285712760616161,-0.029057159284272,2.03111841437192,0.257691787366738,0.415884309991591,0.199621048221509
-0.1953125,-0.0306308711050687,-0.0260386463189131,-0.0303252548270431,-0.029654263205991,-0.0301499788514224,2.04396748998005,0.136027691539911,0.4346814211252,0.21404181598418
-0.15625,-0.0316814098441281,-0.0270653482192779,-0.0316470806105303,-0.0306580887610832,-0.0311667937455742,2.05457710201441,0.0152797044346228,0.455473136215111,0.229052066099996
-0.1171875,-0.0325631585709485,-0.0279284192456101,-0.0327739840619333,-0.0314939455353849,-0.0320168018601666,2.06289041731649,-0.0938369678529546,0.475899326867323,0.243179593067249
-0.078125,-0.0332177948561185,-0.0285696384962371,-0.0336241489251349,-0.0321097163020052,-0.0326453230795907,2.06886224659203,-0.180865385552265,0.493198100358592,0.254803228204653
-0.0390625,-0.0336169192621466,-0.0289606802918319,-0.0341494212825107,-0.0324827798080334,-0.0330272454076105,2.07245976059215,-0.23701296618888,0.504797626697144,0.262459754147176
0,-0.0337506016733043,-0.0290916592837395,-0.0343266952881881,-0.0326072853013019,-0.0331549215994711,2.07366303380201,-0.256415283406327,0.50888220937703,0.265133080814017
0.0390625,-0.0336169192621466,-0.0289606676563369,-0.0341494212825107,-0.0324827798080334,-0.0330272454076105,2.07246538456358,-0.237012966188877,0.504797626697147,0.262459754147182
0.078125,-0.0332177948561185,-0.0285696132334615,-0.0336241489251349,-0.0321097163020052,-0.0326453230795907,2.06887349087872,-0.180865385552265,0.493198100358592,0.254803228204653
0.1171875,-0.0325631585709485,-0.027928381371999,-0.0327739840619333,-0.0314939455353849,-0.0320168018601666,2.06290727459885,-0.0938369678529577,0.475899326867323,0.243179593067249
0.15625,-0.0316814098441281,-0.0270652977595393,-0.0316470806105303,-0.0306580887610832,-0.0311667937455742,2.05459956129505,0.0152797044346228,0.455473136215114,0.229052066099997
0.1953125,-0.0306308711050687,-0.0260385833060656,-0.0303252548270431,-0.029654263205991,-0.0301499788514224,2.04399553656264,0.136027691539911,0.434681421125203,0.214041815984183
0.234375,-0.0295056520954224,-0.0249422200733481,-0.0289266905322198,-0.0285712760616161,-0.029057159284272,2.03115202983397,0.257691787366738,0.415884309991591,0.199621048221509
0.2734375,-0.0284306326477369,-0.0239009359672832,-0.0275980134633742,-0.0275306838564924,-0.028010818579727,2.01613666261069,0.370593040110235,0.40056098244498,0.186856338007554
0.3125,-0.0275437637422996,-0.0230525079279792,-0.0264943960170736,-0.0266696751534344,-0.027147766073254,1.9990268989728,0.467066316497043,0.389050785229242,0.176255823555754
0.3515625,-0.0269684307719142,-0.0225201274698775,-0.0257506967609687,-0.0261134052295582,-0.026591549686923,1.97990903283839,0.542004985757504,0.380565955078435,0.167747164213881
0.390625,-0.0267826597438561,-0.0223816092380107,-0.0254504424727036,-0.025943598773177,-0.0264214291213436,1.95887714007983,0.59296069304682,0.373460234644793,0.160781251611784
0.4296875,-0.0269940369959447,-0.0226443131112322,-0.0256013475090578,-0.0261724623172495,-0.0266468562957213,1.9360320160166,0.619876458011307,0.365677207027493,0.15452772837788
0.46875,-0.0275285284807873,-0.0232339658762044,-0.0261252564230605,-0.0267303511716037,-0.0271957678078054,1.91148011175644,0.624586687097272,0.355263199686868,0.148109473989438
0.5078125,-0.0282380010541148,-0.0240021848894034,-0.0268669860891044,-0.0274722715386034,-0.0279216212146961,1.88533247769216,0.610229278236928,0.340820911150067,0.140818478269323
0.546875,-0.0289261340052635,-0.0247523919523882,-0.0276214904707447,-0.0282031344474379,-0.0286289710361055,1.8577037198524,0.580687813586208,0.321802102527884,0.132265182230658
0.5859375,-0.029387119777929,-0.0252785163359498,-0.0281735945875355,-0.0287162861278261,-0.0291120448582032,1.8287109746768,0.54013166884032,0.298583417808415,0.122433944201372
0.625,-0.0294477301662653,-0.0254070632219953,-0.0283408401500603,-0.0288358903394225,-0.0291969000877969,1.7984729094324,0.492669090356199,0.272325675108893,0.111642733048262
0.6640625,-0.0290021672916722,-0.0250319668470245,-0.0280089127589377,-0.0284524644726191,-0.0287765322309355,1.76710875783539,0.442090722628629,0.244668922715251,0.100428604918459
