abs_kx_over_k0,abs_kx_depth,mf12_eta20_spectrum_scaled,gl12_eta20_spectrum_scaled,r2_eta20_spectrum_scaled,r4_eta20_spectrum_scaled,r6_eta20_spectrum_scaled
2.3,2.3,6.87039994822326e-05,6.87040770449642e-05,6.67762972774982e-05,6.97454602738095e-05,6.92017367416528e-05
2.4,2.4,5.26516167872058e-05,5.26516433865303e-05,5.09539144127763e-05,5.30566874472806e-05,5.28663123493841e-05
2.5,2.5,2.79154733574226e-05,2.79154798072057e-05,2.69382137714289e-05,2.80185226865975e-05,2.79825563534849e-05
2.6,2.6,7.15706631928099e-06,7.15706738332335e-06,6.88862559468899e-06,7.1695900923339e-06,7.16885731648206e-06
2.7,2.7,9.49910373275435e-20,9.63958468515557e-20,1.49409171961401e-19,1.21323718036885e-20,8.07112170894863e-20
2.8,2.8,1.24555623919184e-19,4.25791619348785e-20,1.35590823786981e-20,5.51021948910453e-20,7.47703753641759e-20
2.9,2.9,1.56623800639751e-19,2.22330819533385e-19,4.29333751011688e-20,1.55630604036194e-19,1.07599677357547e-19
3,3,1.45170505804844e-19,7.11890899352882e-20,8.75711623956663e-20,6.74010188176257e-20,1.33476233310296e-19
3.1,3.1,4.4270142028247e-19,3.2130396361494e-19,3.29877195529696e-19,1.13863082981909e-19,3.18477513088149e-19
3.2,3.2,1.0842021724855e-19,2.61749558916888e-19,8.2981241748888e-20,0,1.0842021724855e-19
3.3,3.3,2.27665780713606e-19,3.29487128970005e-19,4.44070769359079e-19,2.01516901870196e-19,2.78176085878747e-19
3.4,3.4,2.88586367477672e-19,3.94643921776964e-20,3.08565713541919e-20,1.0647600878748e-19,8.50432104816008e-20
3.5,3.5,1.0534194936833e-19,4.71256789636771e-20,1.2303762998027e-19,1.17800824447762e-19,2.18030085354894e-19
3.6,3.6,1.34059709867887e-19,1.22318236289917e-19,1.47105331542631e-20,1.44502111274829e-19,1.16404571188603e-19
3.7,3.7,1.1234342633737e-19,5.76976160920822e-20,1.65580944845161e-19,1.17680222969509e-19,9.72054898535184e-20
3.8,3.8,6.37666041789058e-20,7.65686356778668e-20,7.59828946085722e-20,1.61816698374903e-19,1.70166582600384e-19
3.9,3.9,1.38806409806113e-19,1.17344247123191e-19,2.78144381909593e-19,1.79154623680398e-19,2.44836095379512e-19
4,4,1.90470732559201e-19,2.00052903694934e-19,2.53896395258312e-19,5.80815444075357e-20,8.60358710310414e-20
4.1,4.1,5.23701514751574e-20,1.56968496822918e-19,2.45829258737358e-19,7.70407615827432e-20,2.01341169324842e-19
4.2,4.2,2.34109009871704e-20,2.44851172857411e-20,4.05952902948745e-20,9.84414567853628e-20,1.49363580536343e-19
4.3,4.3,1.8020943867996e-19,1.15589301631766e-19,8.79965769737605e-20,1.27592685958119e-19,1.36377938185515e-19
4.4,4.4,7.49636121966782e-20,5.85057331179522e-20,4.49207055668957e-20,2.93483294829153e-20,1.88559978987114e-20
4.5,4.5,1.23996684526126e-19,7.42357213457456e-20,2.42564079448753e-19,1.48146556835797e-19,1.22021386167177e-19
4.6,4.6,2.28710227261702e-19,1.5987894288648e-19,1.29228864598213e-19,1.09936459169583e-19,2.19954097229874e-19
4.7,4.7,2.21079516043101e-19,1.42045529508131e-19,1.35554933591351e-19,1.40044996239466e-19,1.86908132864111e-19
4.8,4.8,1.09138905358132e-19,9.67915515732968e-20,1.20291010650246e-19,3.03551273437112e-20,9.68385938513824e-20
4.9,4.9,3.74857481566227e-19,1.22054350819173e-19,2.13376656450423e-19,4.73159354851283e-20,3.21582090777369e-19
5,5,1.4146316394825e-19,9.0275376620323e-20,2.13231909309037e-20,9.73934988134221e-20,1.1308168512911e-19
5.1,5.1,2.00288297304177e-19,1.51047632482692e-19,3.27127202460806e-20,6.76915907695341e-20,1.00160147678502e-19
5.2,5.2,5.9171177874227e-20,1.35661584423941e-19,1.11448422399639e-19,6.16110461537633e-20,1.49510313144967e-19
5.3,5.3,7.49079097629251e-20,9.90379399566298e-20,3.00428460842009e-20,3.52677536432356e-20,6.05012712459391e-20
5.4,5.4,9.26794947657092e-20,1.55917026877041e-19,2.49461835878636e-19,1.72927621927969e-19,1.91209677492224e-19
5.5,5.5,1.3621750543236e-19,1.35513927058779e-19,1.70473560057489e-19,1.28354039206245e-19,2.17313309737076e-19
5.6,5.6,5.37757573959466e-20,4.39364988501184e-20,8.69785376081544e-20,5.12480539729729e-20,1.25688186071566e-19
5.7,5.7,1.19205767202216e-19,2.14957310297098e-19,1.72132863626734e-19,2.13918084119259e-19,2.6618861467971e-19
5.8,5.8,2.19792508260389e-19,1.01686163713986e-19,1.48418890765949e-19,3.87387134761762e-20,8.35705590264028e-20
5.9,5.9,6.7274642561291e-20,4.88616560049921e-20,1.38401461082931e-19,6.86949743373277e-20,1.49504517766338e-19
6,6,1.0842021724855e-19,7.11517143506338e-20,1.12626719329041e-19,1.16780011900418e-19,5.84882230186999e-20
6.1,6.1,2.29026494247503e-19,2.05401560137289e-19,1.80569068392556e-19,1.61125616476636e-19,1.28179344024361e-19
6.2,6.2,2.1079551301915e-19,1.56001302821059e-19,2.15847197363006e-19,4.50204186875179e-20,1.170867954162e-19
6.3,6.3,4.7063714751401e-19,1.06217391212419e-19,4.84884748636964e-19,1.48392823489323e-19,3.73203331744811e-19
6.4,6.4,2.16840434497101e-19,4.84869951806108e-19,2.16840434497101e-19,0,0
6.5,6.5,5.84168478788563e-19,3.48546596003406e-19,4.84884748636964e-19,2.96887162566668e-19,6.4022468562717e-20
6.6,6.6,2.56399265634012e-19,1.82078593231151e-19,3.7509312173552e-20,4.50204186875179e-20,1.170867954162e-19
6.7,6.7,2.4303351783381e-19,1.28358334293472e-19,1.85585286009736e-19,1.55321454930786e-19,1.54197224122728e-19
6.8,6.8,5.42101086242752e-20,3.72712571389072e-20,9.4928173165309e-20,1.4572753533262e-19,1.59566259935498e-19
6.9,6.9,2.4768269591826e-19,2.31293278741186e-19,2.11749461218419e-19,5.2834484670552e-20,5.92316280599457e-20
7,7,8.98052772011105e-20,2.32781624708638e-19,1.06022995469755e-19,1.25847554394585e-19,3.25607877880672e-20
7.1,7.1,3.65622545108903e-19,1.21792061796156e-19,1.92530345924139e-19,9.52540909582711e-20,1.31909096226738e-19
7.2,7.2,6.06642036978854e-20,8.44436283719587e-20,2.34736260422531e-20,2.30273788826792e-20,5.18370221794648e-20
7.3,7.3,1.45927863097459e-19,1.4518027654898e-19,1.354157042731e-19,2.28436561685467e-19,1.24937318080472e-19
7.4,7.4,8.77442619164893e-20,8.84542892259646e-20,1.71541737798494e-19,5.98653726626297e-20,1.67800062785976e-19
7.5,7.5,1.38902845780051e-19,6.14735536977598e-20,2.22585526341533e-19,8.33349063696891e-20,1.26398608099667e-19
