x_over_lambda_p,mf12_phi_s33_scaled,pure_gl6_phi_s33_scaled,pure_gl8_phi_s33_scaled,pure_gl10_phi_s33_scaled,pure_gl6_difference_pct_of_mf12_peak,pure_gl8_difference_pct_of_mf12_peak,pure_gl10_difference_pct_of_mf12_peak
-2.890625,-3.05964767664792e-05,-2.9728481337236e-05,-3.01447167693501e-05,-3.0246752716185e-05,0.000133566467622803,6.95164801529378e-05,5.38152673007419e-05
-2.875,-3.09906015143863e-05,-3.0122076024137e-05,-3.05312620039613e-05,-3.06334521182639e-05,0.000133648033001868,7.06828098167983e-05,5.49578737934988e-05
-2.859375,-3.13830167874551e-05,-3.05182103717114e-05,-3.09187246503983e-05,-3.10205845530706e-05,0.000133075744683523,7.1444916185551e-05,5.57707928733985e-05
-2.84375,-3.1778074251103e-05,-3.0918376762821e-05,-3.1309540813142e-05,-3.14112081811714e-05,0.000132289586863538,7.20975642995935e-05,5.64530680698852e-05
-2.828125,-3.21797747469741e-05,-3.13234732029482e-05,-3.17056272588351e-05,-3.1807922036072e-05,0.00013176702157892,7.29614500138167e-05,5.72204085388558e-05
-2.8125,-3.25910023173072e-05,-3.17337520877488e-05,-3.21081087916731e-05,-3.22124386081018e-05,0.000131913004577433,7.43072835223366e-05,5.82530917851059e-05
-2.796875,-3.30130509050095e-05,-3.21489287704345e-05,-3.25172530891731e-05,-3.26253885629912e-05,0.000132970448024697,7.62929857523726e-05,5.96531823893559e-05
-2.78125,-3.34455060494258e-05,-3.25683953568181e-05,-3.29325916558207e-05,-3.3046364941492e-05,0.000134969117323515,7.89268715463796e-05,6.14195260408825e-05
-2.765625,-3.38864818742437e-05,-3.29914715157184e-05,-3.3353174149286e-05,-3.34741712634881e-05,0.000137723504118314,8.20649816562536e-05,6.34460389843855e-05
-2.75,-3.43331604602561e-05,-3.34176301861467e-05,-3.37778904668031e-05,-3.39072099307445e-05,0.000140881092912139,8.54445186043364e-05,6.55449391692427e-05
-2.734375,-3.47825268475821e-05,-3.38466538447774e-05,-3.42057935632202e-05,-3.43439289053823e-05,0.000144011416324108,8.87472732660366e-05,6.74911132853965e-05
-2.71875,-3.52321449857805e-05,-3.42786989984418e-05,-3.4636362653909e-05,-3.47832362668657e-05,0.000146715533639383,9.16785260142817e-05,6.9077727659009e-05
-2.703125,-3.56807991005871e-05,-3.47142691048743e-05,-3.50696613718883e-05,-3.52247991100937e-05,0.00014872889076317,9.40414026425253e-05,7.01689270637485e-05
-2.6875,-3.612884991748e-05,-3.51541185150539e-05,-3.55063690796099e-05,-3.56691695129591e-05,0.000149990916906764,9.57868715388017e-05,7.07352663375296e-05
-2.671875,-3.65782250424595e-05,-3.55991278449021e-05,-3.59476920716873e-05,-3.61177221139157e-05,0.00015066272209653,9.70259275434067e-05,7.08618357002047e-05
-2.65625,-3.70320537416577e-05,-3.60501934925698e-05,-3.63951850705497e-05,-3.65724307581745e-05,0.000151087898336358,9.80008602276849e-05,7.07264304325156e-05
-2.640625,-3.74940362601762e-05,-3.65081544105626e-05,-3.68505230402392e-05,-3.70355389085544e-05,0.000151706739125509,9.90233182800379e-05,7.05532190692814e-05
-2.625,-3.79676864646888e-05,-3.69737495905267e-05,-3.73152601640158e-05,-3.7509185094091e-05,0.000152946240094409,0.000100394856273701,7.05538375062109e-05
-2.609375,-3.84556032905115e-05,-3.74475842621864e-05,-3.77906079202939e-05,-3.79950414475429e-05,0.000155113191122849,0.000102328975007301,7.08709014064829e-05
-2.59375,-3.89589197400559e-05,-3.7930093021438e-05,-3.82772649884777e-05,-3.8494023300794e-05,0.000158315062467057,0.000104892507770446,7.15379057430853e-05
