x_over_lambda_p,mf12_m3000_psi33_hat,gl6_psi33_hat,difference_pct_of_mf12_peak
-1.78125,-8.26562328988433e-05,-9.53459259868164e-05,-0.00195268019147966
-1.765625,-8.17008818140439e-05,-9.55498526725804e-05,-0.00213106896127168
-1.75,-8.04712428420651e-05,-9.55469328699305e-05,-0.00231983556152361
-1.734375,-7.88970543189767e-05,-9.52874538911603e-05,-0.0025221420528581
-1.71875,-7.69124675038644e-05,-9.47263162591333e-05,-0.00274118131599228
-1.703125,-7.44919350805806e-05,-9.38527450262498e-05,-0.00297922651161214
-1.6875,-7.16850997878348e-05,-9.27191904181844e-05,-0.0032367096536479
-1.671875,-6.86379029436257e-05,-9.14581180696123e-05,-0.00351155711433649
-1.65625,-6.5588444428512e-05,-9.02766219338864e-05,-0.00379899772549808
-1.640625,-6.2833808826514e-05,-8.94258502871178e-05,-0.00409196284347811
-1.625,-6.06759791394297e-05,-8.91530523278386e-05,-0.00438203007281751
-1.609375,-5.93651103557597e-05,-8.96530412008556e-05,-0.00466068345326478
-1.59375,-5.90606296615893e-05,-9.10373446839043e-05,-0.0049205522607827
-1.578125,-5.98230610905529e-05,-9.33318048438369e-05,-0.00515629966105484
-1.5625,-6.16363107762579e-05,-9.65010019316639e-05,-0.00536495180216308
-1.546875,-6.44484825982775e-05,-0.000100487294852622,-0.00554562465188459
-1.53125,-6.82140778360987e-05,-0.000105247974950735,-0.00569874754319981
-1.515625,-7.2921836140621e-05,-0.000110775958373232,-0.00582496315214481
-1.5,-7.85974822029505e-05,-0.000117094664271389,-0.00592391670402742
-1.484375,-8.52767530682296e-05,-0.00012422396000551,-0.00599316618397691
-1.46875,-9.2951400231658e-05,-0.00013212147757225,-0.0060274613098556
-1.453125,-0.000101500671871998,-0.000140613305886603,-0.00601862197512859
-1.4375,-0.000110631913750574,-0.00014933856714835,-0.00595614999073055
-1.421875,-0.000119860477868252,-0.000157737701578318,-0.00582851798968948
-1.40625,-0.000128552854150591,-0.000165106526718009,-0.00562485096001902
-1.390625,-0.000136034279749592,-0.000170714432332189,-0.005336555148817
-1.375,-0.000141730647479951,-0.000173953641819791,-0.00495844953233757
-1.359375,-0.000145291885455659,-0.000174464962212397,-0.00448913056544987
-1.34375,-0.000146646586007595,-0.000172189792324334,-0.00393056889995612
-1.328125,-0.000145967665371336,-0.000167329662441042,-0.00328716764379403
-1.3125,-0.000143570508982222,-0.000160236887744123,-0.00256460951785396
-1.296875,-0.000139795466092472,-0.000151290038641981,-0.00176877596418987
-1.28125,-0.000134931720776161,-0.000140812338470287,-0.000904904918139213
-1.265625,-0.000129222069177975,-0.000129072966000008,2.29438821005288e-05
-1.25,-0.000122960612324542,-0.000116383496223618,0.00101208155613371
-1.234375,-0.000116667759960137,-0.000103274102711459,0.00206100565393103
-1.21875,-0.000111300287241203,-9.07072650293578e-05,0.0031688383853729
-1.203125,-0.000108426598651561,-8.02584148972173e-05,0.0043344984047878
-1.1875,-0.000110275696218998,-7.41703582530378e-05,0.00555586157711161
-1.171875,-0.000119572922515377,-7.51924538457437e-05,0.00682923231152931
-1.15625,-0.000139128548040474,-8.6169229240245e-05,0.00814933915726266
-1.140625,-0.00017124675319701,-0.000109446357584912,0.00950979724259249
-1.125,-0.00021713283684785,-0.000146274127206479,0.0109036836234952
-1.109375,-0.000276527443880836,-0.000196440326236122,0.0123237439340241
-1.09375,-0.000347735191508554,-0.000258301914630481,0.0137619237130677
-1.078125,-0.00042805033761796,-0.000329217165180494,0.0152083723965431
-1.0625,-0.000514393267177519,-0.000406187649769186,0.0166505970046143
-1.046875,-0.000603861185968751,-0.000486407168479902,0.0180737336805687
-1.03125,-0.000693922171472669,-0.000567441753690207,0.0194627092004267
-1.015625,-0.000782122515469753,-0.000646910103659909,0.020806381710958
-1,-0.000865360256333158,-0.00072172236811599,0.0221028875263709
-0.984375,-0.000938937381856618,-0.000787098665486314,0.0233648246415824
-0.96875,-0.000995716320761839,-0.000835702188172443,0.0246228513879702
-0.953125,-0.00102577450020345,-0.000857287290550281,0.0259266819557084
-0.9375,-0.00101695233087649,-0.000839261243930389,0.0273429674994265
-0.921875,-0.000956558949865046,-0.000768425137337073,0.0289498860629733
-0.90625,-0.00083417104846565,-0.000633828782722752,0.0308285134337161
-0.890625,-0.00064496362390039,-0.000430174248855281,0.0330516234776702
-0.875,-0.000392540842835557,-0.000160723876847797,0.0356718160474845
