x_over_lambda_p,gl6_endpoint_band_eta20_scaled,gl6_endpoint_band_difference_pct_of_mf12_peak
2.8515625,7.61522530671721e-05,0.0891056205424088
2.890625,7.49046655675443e-05,0.088445470733853
2.9296875,7.30833108823351e-05,0.0877489598621746
2.96875,7.10902866969937e-05,0.0870117942804521
3.0078125,6.94953209111885e-05,0.0862305033724243
3.046875,6.8813031625334e-05,0.0854023219760775
3.0859375,6.93110775937382e-05,0.0845250919198482
3.125,7.09206282769177e-05,0.0835972009887199
3.1640625,7.32753336192351e-05,0.0826175642768868
3.203125,7.58537912028379e-05,0.081585638689036
3.2421875,7.81635789079047e-05,0.0805014512218283
3.28125,7.98950743450096e-05,0.0793656187830628
3.3203125,8.09917183162921e-05,0.0781793421318703
3.359375,8.16202912581609e-05,0.0769443667649837
3.3984375,8.2064176524459e-05,0.0756629152386677
3.4375,8.2589102910947e-05,0.0743376043756914
3.4765625,8.33356192801891e-05,0.0729713642802373
3.515625,8.42760009058379e-05,0.0715673735065234
3.5546875,8.52440839560231e-05,0.0701290177154631
3.59375,8.60173508731988e-05,0.068659870686708
3.6328125,8.64127764020572e-05,0.0671636897356522
3.671875,8.63571725344921e-05,0.0656444145203227
3.7109375,8.59074264249545e-05,0.0641061593832871
3.75,8.52186025467452e-05,0.0625531936698204
3.7890625,8.44785762976397e-05,0.0609899098692257
3.828125,8.38387184586396e-05,0.0594207838718495
3.8671875,8.33680086598774e-05,0.0578503337721937
3.90625,8.30452177234146e-05,0.0562830832166714
3.9453125,8.27868318704215e-05,0.0547235330098118
3.984375,8.24945263774971e-05,0.053176141774432
4.0234375,8.21004459629449e-05,0.051645314058011
4.0625,8.15925267746363e-05,0.0501353930357361
4.1015625,8.10127700176153e-05,0.0486506548968138
4.140625,8.04335031612178e-05,0.0471953026721098
4.1796875,7.99250278741925e-05,0.0457734581015556
4.21875,7.95296437939445e-05,0.0443891507764057
4.2578125,7.92520573741185e-05,0.0430463041806872
4.296875,7.90676000160087e-05,0.0417487186180465
4.3359375,7.89416404728706e-05,0.0405000515930575
4.375,7.8849508032251e-05,0.0393037970818105
4.4140625,7.87874466344166e-05,0.0381632660337571
4.453125,7.87704413231593e-05,0.037081570950526
4.4921875,7.88193573593677e-05,0.0360616170608909
4.53125,7.89446130623795e-05,0.0351061013137168
4.5703125,7.91346152555753e-05,0.0342175184255984
4.609375,7.9354359086795e-05,0.0333981712002313
4.6484375,7.9554596123501e-05,0.0326501810587282
4.6875,7.96872720448158e-05,0.0319754947420488
4.7265625,7.97206001193445e-05,0.0313758845503311
4.765625,7.96479467364992e-05,0.0308529417927453
4.8046875,7.94879235770195e-05,0.0304080654783922
4.84375,7.92769566746389e-05,0.0300424497869929
4.8828125,7.90582967776114e-05,0.0297570739578177
4.921875,7.88719003808104e-05,0.0295526969419888
4.9609375,7.87480073999208e-05,0.0294298570677638
