x_over_lambda_p,mf12_eta22_hat,gl6_eta22_hat,difference_pct_of_mf12_peak
3.28125,0.000330077005902971,0.000428328578724504,0.0155418738466545
3.3203125,0.000345699334446131,0.000436131014720084,0.0143048882190592
3.359375,0.000362445081683685,0.00044340002365295,0.0128058153087784
3.3984375,0.000379991542704823,0.000449997253158647,0.0110738168272895
3.4375,0.000398333520519343,0.000456104986239835,0.0091385491995649
3.4765625,0.000417706926650752,0.000462163229259719,0.00703229706146584
3.515625,0.000438405888902169,0.000468693693056381,0.00479106051678175
3.5546875,0.000460516727005512,0.000476033975939578,0.00245458793640326
3.59375,0.000483681618442035,0.000484097859010599,6.5842797430185e-05
3.6328125,0.000507085883533513,0.000492354931961626,-0.00233020789791633
3.671875,0.00052973537439215,0.000500095031288168,-0.00468864222795104
3.7109375,0.000550839340620197,0.00050679693023016,-0.0069668257364988
3.75,0.000570024270665704,0.000512333379274615,-0.00912580359125662
3.7890625,0.000587274708361325,0.000516910810235939,-0.0111304765574596
3.828125,0.000602723682272483,0.000520862765015457,-0.012949126537558
3.8671875,0.000616472419687618,0.000524472001434206,-0.0145530382188509
3.90625,0.000628515732285333,0.000527895865844762,-0.0159165011386347
3.9453125,0.000638747805204581,0.000531170095342259,-0.0170171239744854
3.984375,0.000647005933232201,0.000534248972464719,-0.017836401079946
4.0234375,0.000653127796103035,0.000537057715962834,-0.0183604851414117
4.0625,0.000656998273098093,0.000539534514637793,-0.0185809434202134
4.1015625,0.000658563137157747,0.000541641622426534,-0.0184951688784977
4.140625,0.000657815630802558,0.000543352381765637,-0.0181063094006791
4.1796875,0.000654790191216115,0.000544647350729121,-0.0174228878256276
4.21875,0.000649585600267755,0.000545540028565892,-0.0164583945402145
4.2578125,0.000642400599804426,0.000546114307256042,-0.0152309970107784
4.296875,0.000633546739539555,0.000546538670029084,-0.013763326134524
4.3359375,0.000623422796108682,0.000547042247984314,-0.0120822172021972
4.375,0.000612463185747961,0.000547865848583343,-0.0102182961169073
4.4140625,0.000601080746591065,0.000549208665473063,-0.00820535812046303
4.453125,0.000589616571541489,0.000551183205204007,-0.00607956202598814
4.4921875,0.000578304442150205,0.000553785422518409,-0.00387852834328879
4.53125,0.000567258009204316,0.000556887492899201,-0.00164045471751936
4.5703125,0.000556486373540818,0.000560258178030053,0.000596640927595403
4.609375,0.000545935815316411,0.000563607895099683,0.0027954487313758
4.6484375,0.000535547881852082,0.000566648396730816,0.00491961873922643
4.6875,0.000525319596411525,0.000569153413860026,0.00693382957074229
4.7265625,0.000515348540010426,0.00057100460646699,0.00880392586936133
4.765625,0.000505846044739457,0.000572207705307675,0.0104973846950948
4.8046875,0.000497111194998746,0.00057287186948818,0.011984162814279
4.84375,0.000489475566364073,0.000573160809595654,0.0132377065911639
4.8828125,0.000483242611769394,0.000573237553262555,0.0142358029226095
4.921875,0.000478645732128273,0.000573225665162881,0.0149610774202971
4.9609375,0.000475835697266984,0.000573197720953088,0.0154011609802218
