x_over_lambda_p,mf12_eta20_hat,gl8_eta20_hat,gl8_difference_pct_of_mf12_peak
-0.46875,0.00705641567503657,0.00732388243740589,0.853657879078314
-0.4296875,0.00873165001388961,0.00900244700311565,0.86428676758083
-0.390625,0.0105850799432835,0.010859007068152,0.874277036764396
-0.3515625,0.0126480158949569,0.0129248606116102,0.883588942262279
-0.3125,0.0149410014610066,0.0152205374265331,0.892178442448493
-0.2734375,0.0174551406390418,0.0177371255628095,0.899994637925141
-0.234375,0.0201360404474521,0.0204202135211528,0.906978426917811
-0.1953125,0.0228756759375264,0.0231617554325205,0.913063039239459
-0.15625,0.0255159670361912,0.0258036487558194,0.918176765037918
-0.1171875,0.027865085223169,0.0281540424515052,0.922247730898552
-0.078125,0.029724193713732,0.030014079106931,0.925210099909017
-0.0390625,0.0309193826745925,0.0312098322288313,0.927010699402037
0,0.0313318448671852,0.0316224837306773,0.927614906572399
0.0390625,0.0309193826745925,0.0312098322288313,0.927010699402026
0.078125,0.029724193713732,0.030014079106931,0.925210099908984
0.1171875,0.027865085223169,0.0281540424515052,0.922247730898496
0.15625,0.0255159670361912,0.0258036487558194,0.918176765037851
0.1953125,0.0228756759375264,0.0231617554325205,0.913063039239393
0.234375,0.0201360404474521,0.0204202135211528,0.906978426917767
0.2734375,0.0174551406390418,0.0177371255628094,0.899994637925085
0.3125,0.0149410014610066,0.015220537426533,0.892178442448437
0.3515625,0.0126480158949569,0.0129248606116101,0.883588942262224
0.390625,0.0105850799432835,0.010859007068152,0.874277036764341
0.4296875,0.00873165001388961,0.00900244700311563,0.864286767580758
0.46875,0.00705641567503657,0.00732388243740587,0.853657879078254
0.5078125,0.00553332983359352,0.00579727830951642,0.842428771882975
0.546875,0.00415120187084476,0.00441145641594411,0.83063907089597
0.5859375,0.00291539408897435,0.00317179236530941,0.818331245484994
0.625,0.00184262015896003,0.00209501415987702,0.805551035972765
0.6640625,0.000951708727752801,0.00119996558810066,0.792346768599838
0.703125,0.000253988848256236,0.000497991198342366,0.778767899306439
0.7421875,-0.000253438280749732,-1.37925104592189e-05,0.764863260706047
0.78125,-0.000589604209717053,-0.000354402479421567,0.750679480549261
0.8203125,-0.000786573702292428,-0.000555889887634965,0.736259915863002
0.859375,-0.000882759755561227,-0.00065665529723786,0.721644254533424
0.8984375,-0.000915041119863252,-0.000693566104034508,0.706868736161469
0.9375,-0.000912178795732394,-0.0006953728343342,0.691966790711586
0.9765625,-0.000891339754423573,-0.000679232620440277,0.676969820584816
1.015625,-0.000858358248008872,-0.000650970302188907,0.661907866258998
1.0546875,-0.000811126137285622,-0.000608468637915542,0.646809979524475
1.09375,-0.00074460477934625,-0.000546680184627625,0.631704247093083
1.1328125,-0.000655640230021997,-0.000462442584607848,0.616617521991154
1.171875,-0.000546072058013624,-0.000357587512614025,0.601574998850468
1.2109375,-0.000423381308491808,-0.000239588770632717,0.586599795314263
1.25,-0.000299026732889835,-0.000119898604076637,0.571712676264415
1.2890625,-0.000185357551847895,-1.08604827977169e-05,0.556931996152369
1.328125,-9.23430999690661e-05,7.75613049184701e-05,0.542273861011876
1.3671875,-2.5255932063242e-05,0.000140098646607276,0.527752449214055
1.40625,1.60238135301379e-05,0.00017687536251812,0.513380395153326
1.4453125,3.60466355743528e-05,0.000192445535685879,0.499169138537795
1.484375,4.16998936519535e-05,0.000193699812217354,0.485129168772933
1.5234375,3.98175979194675e-05,0.000187475225997335,0.471270136513775
1.5625,3.53140214090187e-05,0.00017868880911224,0.45760084767106
1.6015625,3.03670054967124e-05,0.000169520873124445,0.444129186192523
1.640625,2.47403377079664e-05,0.000159737358590938,0.430862023781938
1.6796875,1.69257305279156e-05,0.000147831797379296,0.417805167254872
1.71875,5.5433737307006e-06,0.000132425869563409,0.404963373113073
1.7578125,-9.57011568867251e-06,0.000113357380088466,0.392340432867025
1.796875,-2.69616200674612e-05,9.20803752161403e-05,0.379939310271123
1.8359375,-4.39182940657647e-05,7.13084189072649e-05,0.367762298905387
1.875,-5.73573558774913e-05,5.41248471161706e-05,0.355811167412043
1.9140625,-6.4850400545309e-05,4.29584885700103e-05,0.344087268312218
1.953125,-6.53770422734173e-05,3.88300419688407e-05,0.332591600283957
1.9921875,-5.95470564526031e-05,4.11299401608577e-05,0.321324827951332
2.03125,-4.92554042471191e-05,4.7963322913864e-05,0.310287273453225
2.0703125,-3.69484558303636e-05,5.68838079592207e-05,0.299478898185973
2.109375,-2.4804432859988e-05,6.57130448943318e-05,0.288899291241933
2.1484375,-1.41299487595789e-05,7.31441766593592e-05,0.278547675021662
2.1875,-5.16142527126741e-06,7.89404310294644e-05,0.268422930910188
2.2265625,2.71088205475233e-06,8.37111082761579e-05,0.258523641249864
2.265625,1.04375462225554e-05,8.84062593199504e-05,0.248848139737389
2.3046875,1.87533873681369e-05,9.3760119945603e-05,0.239394561333422
2.34375,2.77922687726061e-05,9.99059199978559e-05,0.230160884336488
2.3828125,3.70050340586443e-05,0.000106293829979867,0.221144960390733
2.421875,4.53810062376129e-05,0.000111912465491448,0.21234453169247
2.4609375,5.18555672625955e-05,0.000115696468848221,0.203757237584463
2.5,5.57253872585363e-05,0.000116941738305508,0.195380614535998
2.5390625,5.69065210117597e-05,0.000115563523897181,0.187212094066172
2.578125,5.59463978328979e-05,0.000112108417267692,0.179249002645274
2.6171875,5.38037495634517e-05,0.000107534281132415,0.171488566334749
2.65625,5.14986988253796e-05,0.000102860340812973,0.16392792127407
2.6953125,4.97761032748537e-05,9.88305334342335e-05,0.156564129457809
2.734375,4.89074602417168e-05,9.57154185623163e-05,0.149394197880837
2.7734375,4.86923762851452e-05,9.33136539565325e-05,0.142415098314624
