x_over_lambda_p,gl6_endpoint_band_eta20_scaled,gl6_endpoint_band_difference_pct_of_mf12_peak
-3.0859375,0.000654198218449247,0.177119588110476
-3.046875,0.000601680366316349,0.167402185930056
-3.0078125,0.000548335144965874,0.156098549872185
-2.96875,0.000493239564760625,0.143172617047188
-2.9296875,0.000434572701320201,0.128593260202215
-2.890625,0.000370247179386831,0.112334709756408
-2.8515625,0.000298676972704917,0.0943770112603135
-2.8125,0.000219368725640733,0.0747065141285429
-2.7734375,0.000133070485845688,0.0533163804136287
-2.734375,4.13757035966342e-05,0.030207097501205
-2.6953125,-5.40964540435889e-05,0.00538697764409349
-2.65625,-0.000152629872067501,-0.0211273688731645
-2.6171875,-0.000255055920479855,-0.0493105917574142
-2.578125,-0.000363801013554139,-0.0791281835611773
-2.5390625,-0.000482247151062381,-0.110536070029835
-2.5,-0.000613599225396845,-0.143480183448502
-2.4609375,-0.000759684105370715,-0.177895994489103
-2.421875,-0.000920181263402453,-0.213707987043761
-2.3828125,-0.00109265454502441,-0.250829077847511
-2.34375,-0.00127345264046954,-0.289160004700888
-2.3046875,-0.00145918114967424,-0.32858872761581
-2.265625,-0.00164816947215298,-0.368989898971114
-2.2265625,-0.00184128930768299,-0.410224455746679
-2.1875,-0.00204168125378371,-0.45213936680088
-2.1484375,-0.00225335904834547,-0.494567534212318
-2.109375,-0.00247913918217635,-0.537327808994377
-2.0703125,-0.00271869417134428,-0.580225051095499
-2.03125,-0.00296758852895133,-0.62305015484221
-1.9921875,-0.00321786640820855,-0.665579982602729
-1.953125,-0.00346019605598789,-0.707577201266763
-1.9140625,-0.00368693797962291,-0.748790086970635
-1.875,-0.00389504511143013,-0.788952432645653
-1.8359375,-0.00408763526086592,-0.827783735547903
-1.796875,-0.00427347543200216,-0.864989836973371
-1.7578125,-0.00446437918328422,-0.900264125301804
-1.71875,-0.00467137629797602,-0.933289305983997
-1.6796875,-0.00490113008225284,-0.963739616365091
-1.640625,-0.00515416812542841,-0.9912832599778
-1.6015625,-0.00542594977226545,-1.01558479513743
-1.5625,-0.0057107513383624,-1.03630726301368
-1.5234375,-0.00600715996079142,-1.05311398078417
-1.484375,-0.00632308706895054,-1.06567012385651
-1.4453125,-0.00667804015942757,-1.07364441835513
-1.40625,-0.00710109969482249,-1.07671139066413
-1.3671875,-0.00762448839789042,-1.07455461568951
-1.328125,-0.00827433971892868,-1.06687124477403
-1.2890625,-0.00906164716395187,-1.05337780230036
-1.25,-0.00997682825945674,-1.0338168912797
-1.2109375,-0.0109905577755926,-1.00796415015532
-1.171875,-0.0120616254764473,-0.975634665180599
-1.1328125,-0.013150095674456,-0.936688139283809
-1.09375,-0.0142318148635084,-0.891032456600473
-1.0546875,-0.0153091727074365,-0.838625788081287
-1.015625,-0.0164135290093228,-0.779477914047491
-0.9765625,-0.0175969168546806,-0.71365181723036
-0.9375,-0.0189139736543908,-0.641266668271513
-0.8984375,-0.0203985317847429,-0.562503004907736
-0.859375,-0.0220417558951288,-0.477610232019679
-0.8203125,-0.0237792078711128,-0.386915701541703
-0.78125,-0.0254923810226675,-0.290833819344359
-0.7421875,-0.0270264388377759,-0.189873145550509
-0.703125,-0.0282211620852154,-0.0846395197183801
-0.6640625,-0.0289478728693189,0.0241660718595347
-0.625,-0.0291427266108418,0.135754972947604
-0.5859375,-0.0288270968153954,0.249262347198644
-0.546875,-0.0281088664873247,0.363760119565525
-0.5078125,-0.0271634658623344,0.47826818178851
-0.46875,-0.0261990066871079,0.591760954666939
-0.4296875,-0.0254142154014706,0.703167664790364
-0.390625,-0.0249597450031275,0.811366742823115
-0.3515625,-0.024912283061014,0.915177124679703
-0.3125,-0.0252670460136542,1.01335131399523
-0.2734375,-0.0259489580153218,1.10457621426914
-0.234375,-0.0268376989375756,1.18748749753466
-0.1953125,-0.0277984265302731,1.26070148950596
-0.15625,-0.0287093001927333,1.32286544910023
